Topic,Representation
95,"['cartel', 'cartels', 'narco', 'trafficking', 'los', 'smugglers', 'smuggling', 'narcotics', 'traffickers', 'zeta']"
96,"['yang', 'yin', 'rituals', 'religions', 'shamanism', 'deities', 'ritual', 'ching', 'qi', 'religion']"
97,"['astrology', 'astrological', 'zodiac', 'zodiacal', 'astrologers', 'astrologer', 'constellations', 'constellation', 'astronomical', 'astronomy']"
98,"['goddesses', 'stanzas', 'mythology', 'stanza', 'valkyries', 'valkyrie', 'goddess', 'gods', 'poem', 'poetry']"
99,"['rating', 'critics', 'reviews', 'review', 'rotten', 'fourth', 'favorable', 'critic', 'average', 'approval']"
100,"['dynasties', 'subcontinent', 'dharma', 'dynasty', 'ancient', 'mandala', 'kingdoms', 'sultanates', 'rulers', 'sultanate']"
101,"['dinosaur', 'fossil', 'dinosaurs', 'fossils', 'tyrannosaurids', 'tyrannosaurs', 'tyrannosaurid', 'tyrannosaur', 'skeleton', 'dromaeosaurids']"
102,"['folkloric', 'folk', 'genres', 'traditional', 'folklore', 'genre', 'reggae', 'music', 'reggaeton', 'musicians']"
103,"['climber', 'climbers', 'mountaineering', 'climb', 'climbed', 'summit', 'climbing', 'summited', 'summits', 'climbs']"
104,"['contestant', 'contestants', 'finalists', 'idol', 'finalist', 'finale', 'drag', 'presenter', 'judges', 'eliminated']"
105,"['proteins', 'amino', 'protein', 'peptide', 'enzymes', 'proteinogenic', 'enzyme', 'acids', 'molecules', 'molecule']"
106,"['battleships', 'battleship', 'naval', 'torpedoes', 'warships', 'fleet', 'admiral', 'torpedo', 'destroyers', 'navy']"
107,"['anthrax', 'slayer', 'thrash', 'bands', 'band', 'guitarists', 'guitarist', 'drummer', 'bassist', 'songwriting']"
108,"['swift', 'songwriting', 'songwriter', 'songwriters', 'songs', 'singer', 'albums', 'lyrics', 'song', 'album']"
109,"['airplane', 'airlines', 'flight', 'aircraft', 'aviation', 'wreckage', 'crashed', 'plane', 'flying', 'crash']"
110,"['paintings', 'painters', 'painter', 'cubism', 'cubist', 'painting', 'exhibitions', 'impressionism', 'impressionist', 'portraits']"
111,"['flags', 'flag', 'flagpole', 'commonwealth', 'emblem', 'stripes', 'union', 'heraldic', 'heraldry', 'symbolise']"
112,"['cult', 'cruise', 'organizations', 'founder', 'organization', 'org', 'religions', 'members', 'aboard', 'sea']"
